timing (s), n_cores, data_size
0.5320606, 16, 2000000
0.5405564, 16, 2000000
0.5546360, 16, 2000000
0.5325482, 16, 2000000
0.5348191, 16, 2000000
0.5312290, 16, 2000000
0.5328939, 16, 2000000
0.5316727, 16, 2000000
0.9737411, 16, 4000000
0.9701750, 16, 4000000
0.9670472, 16, 4000000
0.9702623, 16, 4000000
0.9701953, 16, 4000000
0.9682419, 16, 4000000
0.8083675, 16, 4000000
0.8257113, 16, 4000000
0.7493875, 16, 4000000
0.7305160, 16, 4000000
1.421896, 16, 8000000
1.396610, 16, 8000000
1.389703, 16, 8000000
1.395371, 16, 8000000
1.395276, 16, 8000000
1.393420, 16, 8000000
1.395757, 16, 8000000
1.392125, 16, 8000000
1.395893, 16, 8000000
1.394244, 16, 8000000
2.760591, 16, 16000000
2.699600, 16, 16000000
2.751254, 16, 16000000
2.708563, 16, 16000000
2.704613, 16, 16000000
2.712977, 16, 16000000
2.461910, 16, 16000000
2.447217, 16, 16000000
2.435282, 16, 16000000
2.429170, 16, 16000000
0.2195671, 32, 1000000
0.2173661, 32, 1000000
0.2185523, 32, 1000000
0.2182390, 32, 1000000
0.2187642, 32, 1000000
0.2166661, 32, 1000000
0.2177439, 32, 1000000
0.2179836, 32, 1000000
0.2182054, 32, 1000000
0.2186831, 32, 1000000
0.3475354, 32, 2000000
0.3541460, 32, 2000000
0.3542289, 32, 2000000
0.3551528, 32, 2000000
0.3562624, 32, 2000000
0.3484252, 32, 2000000
0.3533261, 32, 2000000
0.3480749, 32, 2000000
0.3539828, 32, 2000000
0.3508493, 32, 2000000
0.5960015, 32, 4000000
0.5997274, 32, 4000000
0.5966397, 32, 4000000
0.5959929, 32, 4000000
0.6015509, 32, 4000000
0.6121404, 32, 4000000
0.5974052, 32, 4000000
0.6063717, 32, 4000000
0.6025062, 32, 4000000
0.6049021, 32, 4000000
1.096894, 32, 8000000
1.106602, 32, 8000000
1.103002, 32, 8000000
1.094553, 32, 8000000
1.111812, 32, 8000000
1.102715, 32, 8000000
1.096738, 32, 8000000
1.104439, 32, 8000000
1.101740, 32, 8000000
1.094595, 32, 8000000
2.155734, 32, 16000000
2.183749, 32, 16000000
2.183141, 32, 16000000
2.173872, 32, 16000000
2.186088, 32, 16000000
2.181822, 32, 16000000
2.181665, 32, 16000000
2.185368, 32, 16000000
2.183057, 32, 16000000
2.195250, 32, 16000000
0.2520697, 64, 1000000
0.2505500, 64, 1000000
0.2519114, 64, 1000000
0.2514332, 64, 1000000
0.2514571, 64, 1000000
0.2508892, 64, 1000000
0.2525621, 64, 1000000
0.2511475, 64, 1000000
0.2521192, 64, 1000000
0.2530188, 64, 1000000
0.3957732, 64, 2000000
0.4046524, 64, 2000000
0.3946257, 64, 2000000
0.4005086, 64, 2000000
0.3934388, 64, 2000000
0.3932789, 64, 2000000
0.3954203, 64, 2000000
0.3943399, 64, 2000000
0.4057863, 64, 2000000
0.3945952, 64, 2000000
0.6124584, 64, 4000000
0.6210085, 64, 4000000
0.6186835, 64, 4000000
0.6167812, 64, 4000000
0.6277631, 64, 4000000
0.6139414, 64, 4000000
0.6155601, 64, 4000000
0.6129994, 64, 4000000
0.6148317, 64, 4000000
0.6231924, 64, 4000000
0.9840212, 64, 8000000
1.0183144, 64, 8000000
1.0333201, 64, 8000000
0.9992384, 64, 8000000
0.9950212, 64, 8000000
1.0023414, 64, 8000000
1.0123512, 64, 8000000
1.0003233, 64, 8000000
1.0124312, 64, 8000000
0.9984923, 64, 8000000
1.895304, 64, 16000000
1.912759, 64, 16000000
1.916174, 64, 16000000
1.905615, 64, 16000000
1.893114, 64, 16000000
1.910300, 64, 16000000
1.942702, 64, 16000000
1.899665, 64, 16000000
1.902264, 64, 16000000
1.932785, 64, 16000000
